title,description,type,subject
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti personali
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti personali
fibula,confronta scheda pregressa allegata,fibula,ornamenti personali
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti personali
fibula,confronta scheda pregressa allegata,fibula,ornamenti personali
fibula a sanguisuga,confronta scheda pregressa allegata,fibula a sanguisuga,ornamenti personali
fibula/ a navicella,"Arco a navicella; staffa quadrangolare, laminare, decorata da una palmetta a ventaglio e terminante in un elemento biconico con peduncolo finale (elemento ""a melagrana"")",fibula/ a navicella,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,"Arco semplice, leggermente ingrossato al centro; molla a spirale; lunga staffa triangolare, ripiegata per l'alloggiamento dell'ardiglione, terminante in una apofisi conica con due appendici troncoconiche",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ a navicella,"Arco a navicella; molla a spirale; corta staffa laminare, quadrangolare e ripiegata, terminante in una apofisi globulare con peduncolo posteriore (elemento a ""melagrano"")",fibula/ a navicella,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ staffa,"Staffa corta, laminare e ripiegata, terminante con apofisi a ""melagrana"", decorata sul dorso da una palmetta incisa; attacco dell'arco",fibula/ staffa,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula/ a navicella,"Arco a navicella; molla a spirale; staffa laminare, quadrangolare, ripiegata per l'alloggiamento dell'ardiglione e terminante in una apofisi biconica, con peduncolo finale",fibula/ a navicella,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ a navicella,"Arco a navicella; molla a spirale; staffa laminare, quadrangolare, ripiegata per l'alloggiamento dell'ardiglione e terminante in una apofisi biconica con peduncolo finale",fibula/ a navicella,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,"Arco ingrossato centralmente e modanato verso la staffa; molla a spirale; staffa laminare, corta, ripiegata per l'alloggiamento dell'ardiglione",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
"fibula/ a navicella, staffa","Staffa laminare, quadrangolare e ripiegata, terminante in una apofisi globulare con peduncolo posteriore (elemento a ""melagrano"")","fibula/ a navicella, staffa",ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,"Arco semplice, ingrossato nella parte centrale; molla a spirale con ardiglione; staffa laminare, ripiegata, terminante con apofisi conica con peduncolo",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,"Si conservano la punta dell'ardiglione e parte della staffa laminare, decorata da una palmetta incisa, desinente in una apofisi biconica con peduncolo",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ vago,vago di forma ellittica con tre fori passanti,fibula/ vago,ornamenti personali
fibula/ arco,,fibula/ arco,ornamenti personali
fibula/ staffa,,fibula/ staffa,ornamenti personali
fibula/ arco,,fibula/ arco,ornamenti personali
fibula con piegatura alla sommità dell'arco,,fibula con piegatura alla sommità dell'arco,ornamenti
fibula,delfino,fibula,
fibula,delfino,fibula,
fibula. ad occhiali,tubulo a sezione circolare avvolto in due spirali collegate centralmente da un ripiegamento ad occhiello del tubulo,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula. ad occhiali,tubulo a sezione circolare avvolto in due spirali collegate centralmente da un ripiegamento ad occhiello del tubulo,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula. ad occhiali,tubulo a sezione circolare avvolto in due spirali collegate centralmente da un ripiegamento ad occhiello del tubulo,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula. ad occhiali,tubulo a sezione circolare avvolto in due spirali collegate centralmente da un ripiegamento ad occhiello del tubulo,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula/ frammento. ad occhiali,tubulo a sezione circolare avvolto in una spirale a cui si collega una lamina di raccordo,fibula/ frammento,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula. ad occhiali,tubulo a sezione circolare avvolto in due spirali collegate centralmente da un raccordo obliquo,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula. ad occhiali,tubulo a sezione circolare avvolto in due spirali collegate centralmente da un raccordo obliquo,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula/ ad arco semplice,"arco sottile, molla ad una sola spirale desinente nell'ardiglione, staffa a canale",fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula/ ad arco semplice,"arco semplice ispessito nella parte centrale, molla a doppia spirale stretta, staffa a canale",fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula/ ad arco semplice,"arco semplice ispessito nella parte centrale, molla a spirale, staffa a canale",fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti personali
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti personali
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti della persona
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti della persona
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti della persona
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti della persona
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti della persona
fibula/ arco,confronta scheda pregressa allegata,fibula/ arco,ornamenti della persona
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti della persona
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti della persona
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti della persona
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti della persona
fibula ad arco semplice,confronta scheda pregressa allegata,fibula ad arco semplice,ornamenti della persona
fibula,confronta scheda pregressa allegata,fibula,ornamenti personali
fibula,confronta scheda pregressa allegata,fibula,ornamenti personali
fibula/ arco,,fibula/ arco,ornamenti personali
fibula ad arco semplice,,fibula ad arco semplice,ornamenti personali
FIBULA A NAVICELLA,arco a navicella; staffa terminante a globo rialzato,FIBULA A NAVICELLA,ORNAMENTI
FIBULA A NAVICELLA,"arco in osso a delfino del dal corpo inarcato, coda a due punte, pinna dorsale distinta, foro passante in corrispondenza degli occhi riempiti con conchiglia; staffa in osso; tracce dell'ardiglione in ferro",FIBULA A NAVICELLA,ORNAMENTI
fibula/ ad arco serpeggiante,"arco curvilineo serpeggiante a doppia spirale, staffa a canale, ardiglione a sezione circolare",fibula/ ad arco serpeggiante,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula/ ad arco serpeggiante,"arco curvilineo serpeggiante a doppia spirale, staffa a canale, ardiglione a sezione circolare",fibula/ ad arco serpeggiante,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula/ ad arco serpeggiante,"arco curvilineo serpeggiante a doppia spirale, staffa a canale, ardiglione a sezione circolare",fibula/ ad arco serpeggiante,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula/ ad arco semplice,"arco semicircolare ispessito nella parte centrale con molla a doppio anello, staffa a canale, ardiglione a sezione circolare",fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
molla (di fibula),molla a spirale,molla (di fibula),ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
molla (di fibula),lamina curvilinea desinente in anello spiraliforme,molla (di fibula),ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula/ ad arco semplice,"arco semicircolare leggermente ispessito nella parte centrale decorato con serie di quattro solchi incisi paralleli alle estremità, staffa a canale",fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula con piegatura alla sommità dell'arco,,fibula con piegatura alla sommità dell'arco,ornamenti
fibula,arco a doppia piegatura,fibula,
fibula,delfino,fibula,
fibula,anello da sospensione in bronzo con sezione schiacciata,fibula,
fibula/ staffa,si conservano una lunga staffa laminare e una apofisi,fibula/ staffa,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula ad arco semplice,Arco semplice; staffa lunga.,fibula ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ad arco semplice,Arco semplice; staffa lunga.,fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,Arco a sezione circolare; lunga staffa.,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,Parti di arco e spillone; verga a sezione circolare.,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ad arco semplice,Arco semplice; staffa lunga.,fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ardiglione,Sottile verga a sezione circolare desinente in molla a spirale.,fibula/ ardiglione,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
molla,"frammento di molla a doppio avvolgimento e ago, pertinente a fibula",molla,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
statuetta votiva di divinità,"Statuetta con retro piatto, raffigurante una divinità femminile seduta in trono, con braccia flesse e sporte in avanti; indossa un alto polos sul capo, un chitone cintato con fibula a disco applicata sulla spalla sinistra; volto dai tratti arcaici, con pettinatura a lunghe ciocche che ricadono sul busto",statuetta votiva di divinità,"Demetra-Persefone in trono, STRUMENTI, UTENSILI E OGGETTI D’USO/ OGGETTI PER USO CERIMONIALE, MAGICO E VOTIVO"
peso da telaio,peso da telaio di forma troncopiramidale a base quadrangolare con foro circolare passante; è decorato su una faccia con una fibula ad arco impressa,peso da telaio,strumenti e utensili
RILIEVO,"una figura virile nuda con testa ornata di diadema, le cui bende scendono sulle spalle, e' in piedi con l'avambraccio sinistro sollevato ed infilato nel passante di uno scudo; sul petto ha una fibula a borchia che unisce i lembi di una clamide; manca il lato destro del rilievo dove si conservava il braccio destro disteso ad offrire un kantharos all'animale; la figura ha un portamento severo, un viso scarno con lunghi baffi e fluente barba",RILIEVO,COROPLASTICA
